benchmark,sweep,topology,k,R,N,filename,n_valid,n_errored,patch_presence_correct,patch_presence_acc_pct,acc_std_pct,acc_std_ci95_pct,mean_kJ_dynamic_std,mean_kJ_dynamic_std_ci95,n_std,mean_tokens_std,mean_completion_tokens_std,degraded_incomplete_run,acc_ci95_pct,mean_kJ_dynamic,mean_kJ_dynamic_ci95,total_kJ_dynamic,mean_kJ_gpu_total,mean_kJ_total_system,mean_kJ_inference,mean_kJ_coordination,mean_kJ_tool_exec,mean_wall_s,mean_wall_s_serial,mean_prompt_tokens,mean_completion_tokens,mean_tokens,mean_n_tool_calls,mean_n_llm_calls,mean_task_kv,loose_acc_pct,real_correct_present,real_correct_true,harness_acc_pct,harness_acc_evaluated_only_pct
BrowseCompplus,k_sweep,independent,1,,3,Qwen_Qwen3.5-9B_independent_k1.jsonl,50,0,8,16.0,16.0,10.26496955670108,21.616892922144586,3.997714630735135,50,26663.72,3857.5,False,10.26496955670108,21.61689292214459,3.997714630735135,1080.8446461072294,24.196585759999998,25.858059636847997,1.5614805299882863,19.984044545638188,0.07136784651810649,91.31295480653644,108.71667684607208,22806.22,3857.5,26663.72,6.84,7.0,21300565.53,,,,,
BrowseCompplus,k_sweep,independent,2,,3,Qwen_Qwen3.5-9B_independent_k2.jsonl,50,0,15,30.0,30.0,12.83121194587635,18.851756076710387,3.162578118914403,50,62168.38,3071.38,False,12.83121194587635,18.851756076710387,3.162578118914403,942.5878038355194,21.264177419999996,22.922353732568677,5.3217253961470705,13.407565786964872,0.12246489359844574,72.32057688988745,97.327463077344,59097.0,3071.38,62168.38,13.0,9.86,22187658.19,,,,,
BrowseCompplus,k_sweep,independent,3,,3,Qwen_Qwen3.5-9B_independent_k3.jsonl,50,0,21,42.0,42.0,13.819638200763432,23.726606564458766,4.108582166756904,50,116306.94,3590.2,False,13.819638200763432,23.726606564458766,4.108582166756904,1186.3303282229383,26.62165482,28.707200863891813,7.658794843022345,15.905120922772792,0.16269079866362599,83.84617892701179,122.21747616339475,112716.74,3590.2,116306.94,19.44,12.54,40947194.82,,,,,
BrowseCompplus,k_sweep,independent,5,,3,Qwen_Qwen3.5-9B_independent_k5.jsonl,50,0,23,46.0,46.0,13.955128089702368,29.53987512805381,5.132084351181901,50,212061.02,4103.08,False,13.955128089702368,29.539875128053808,5.132084351181901,1476.9937564026905,33.35103472,36.0673072560372,14.478207806678535,14.845908198619675,0.21575912275559916,99.40581043675542,153.91433300357312,207957.94,4103.08,212061.02,27.78,17.0,61003358.88,,,,,
BrowseCompplus,k_sweep,independent,7,,3,Qwen_Qwen3.5-9B_independent_k7.jsonl,50,0,22,44.0,44.0,13.89883448350976,35.23001954406146,5.271255626222434,50,306842.94,4637.56,False,13.89883448350976,35.23001954406146,5.271255626222434,1761.500977203073,39.560121239999994,42.748851664545775,20.607469938186004,14.36300226384763,0.25954734202782537,108.4436970050633,182.87394707255066,302205.38,4637.56,306842.94,35.0,20.48,74344281.12,,,,,
BrowseCompplus,k_sweep,independent,10,,3,Qwen_Qwen3.5-9B_independent_k10.jsonl,50,0,25,50.0,50.0,14.000000000000002,50.76993951556552,8.812646039515723,50,484278.38,6009.2,False,14.000000000000002,50.76993951556554,8.812646039515723,2538.496975778277,57.29895533999999,61.8595995692384,35.89169823677191,14.513456320724377,0.3647849580692331,149.80731425773354,263.7890332398936,478269.18,6009.2,484278.38,49.92,25.94,116860732.64,,,,,
BrowseCompplus,k_sweep,independent,15,,3,Qwen_Qwen3.5-9B_independent_k15.jsonl,50,0,24,48.0,48.0,13.988795516412415,59.606851445700116,10.78881568549828,50,723204.26,6535.26,False,13.988795516412415,59.6068514457001,10.78881568549828,2980.342572285005,66.93690694000001,72.28115920414716,43.12465756556338,16.0689451212847,0.4132487588520346,166.32821416761726,309.90073493808507,716669.0,6535.26,723204.26,61.88,34.52,135468409.41,,,,,
BrowseCompplus,k_sweep,independent,20,,3,Qwen_Qwen3.5-9B_independent_k20.jsonl,50,0,23,46.0,46.0,13.955128089702368,68.53984984638214,13.06700320225529,50,848568.86,7335.74,False,13.955128089702368,68.53984984638213,13.06700320225529,3426.9924923191065,76.96541728,83.06256723311931,57.476993169664404,10.553850370778493,0.5090063059392459,185.80228637512772,356.18593118902294,841233.12,7335.74,848568.86,72.26,37.98,166740392.49,,,,,
BrowseCompplus,k_sweep,independent,30,,3,Qwen_Qwen3.5-9B_independent_k30.jsonl,50,0,26,52.0,52.0,13.988795516412415,91.92931796479145,16.344578992203054,50,1231107.2,8466.06,False,13.988795516412415,91.92931796479147,16.344578992203054,4596.465898239573,103.25943849999997,111.42487793658333,80.68534579016622,10.662960183688806,0.5810119909364535,254.03273110076785,478.15050029631703,1222641.14,8466.06,1231107.2,85.0,50.34,206009215.83,,,,,
BrowseCompplus,k_sweep,independent,50,,3,Qwen_Qwen3.5-9B_independent_k50.jsonl,50,0,25,50.0,50.0,14.000000000000002,132.33956489827116,32.69056603870191,50,1761469.64,12123.36,False,14.000000000000002,132.33956489827116,32.69056603870191,6616.978244913558,148.60034508000004,160.25682873438507,123.99484894503054,7.472567651824744,0.872148301415908,358.3270912747458,686.290342876166,1749346.28,12123.36,1761469.64,123.24,66.0,339780691.42,,,,,
